circ,region,dist,capitaldist,candidato,partido,pacto,diputado,senador
VII,"Región Metropolitana",10,"Santiago Centro","Helia Molina​",PPD,"Nueva Mayoría",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Julia Urquieta​",PCCh,"Nueva Mayoría",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Javiera Olivares​",PCCh,"Nueva Mayoría",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Javiera Reyes​",PCCh,"Nueva Mayoría",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Giorgio Jackson",RD,"Frente Amplio",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Natalia Castillo",RD,"Frente Amplio",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Raúl Florcita Alarcón​",PH,"Frente Amplio",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Cristián Villarroel",PEV,"Frente Amplio",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Rodrigo Román",IGUAL,"Frente Amplio",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Francisco Figueroa (IA)​",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Gonzalo Winter (MA)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Claudio Arriagada",PDC,"Fuera de Pacto",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Nicolás Muñoz",PDC,"Fuera de Pacto",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Eva Jiménez",PDC,"Fuera de Pacto",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Óscar Rementería",Amplitud,"Sentido Futuro",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Elizabeth Armstrong",Amplitud,"Sentido Futuro",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Luis Larraín",Ind.,"Sentido Futuro",1,0
VII,"Región Metropolitana",10,"Santiago Centro","Patricia Morales",PRO,"Fuera de Pacto",1,0
VII,"Región Metropolitana",11,"Las Condes","Guillermo Ramírez​",UDI,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Bárbara Soto​",UDI,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Gonzalo Fuenzalida​",RN,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Catalina del Real​",RN,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Karin Luck​",RN,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Felipe Kast​",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Francisco Undurraga​",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Nibaldo Buitrago​",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",11,"Las Condes","Fernando Atria​",PS,"Nueva Mayoría",1,0
VII,"Región Metropolitana",11,"Las Condes","Soledad Álamos",RD,"Frente Amplio",1,0
VII,"Región Metropolitana",11,"Las Condes","Tomás Hirsch",PH,"Frente Amplio",1,0
VII,"Región Metropolitana",11,"Las Condes","Willem Schuitemaker",Poder,"Frente Amplio",1,0
VII,"Región Metropolitana",11,"Las Condes","Fernando Encina (ND)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",11,"Las Condes","Manuela Veloso (MA)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",11,"Las Condes","Jaime Pilowsky",PDC,"Fuera de Pacto",1,0
VII,"Región Metropolitana",11,"Las Condes","Mariana Aylwin",PDC,"Fuera de Pacto",1,0
VII,"Región Metropolitana",11,"Las Condes","Ignacia Gómez",Ind.,"Sentido Futuro",1,0
VII,"Región Metropolitana",11,"Las Condes","Sebastián Sichel",Ind.,"Sentido Futuro",1,0
VII,"Región Metropolitana",12,"Puente Alto","Leopoldo Pérez",RN,"Chile Vamos",1,0
VII,"Región Metropolitana",12,"Puente Alto","Sebastián Keitel​",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",12,"Puente Alto","Osvaldo Andrade",PS,"Nueva Mayoría",1,0
VII,"Región Metropolitana",12,"Puente Alto","Camila Vallejo",PCCh,"Nueva Mayoría",1,0
VII,"Región Metropolitana",12,"Puente Alto","Miguel Crispi​",RD,"Frente Amplio",1,0
VII,"Región Metropolitana",12,"Puente Alto","Karina Oliva​",Poder,"Frente Amplio",1,0
VII,"Región Metropolitana",12,"Puente Alto","Andrea Salazar (MA)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",12,"Puente Alto","Valentina Olivares (ND)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",13,"San Miguel","Loreto Letelier",UDI,"Chile Vamos",1,0
VII,"Región Metropolitana",13,"San Miguel","Jorge Saint Jean",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",13,"San Miguel","Rodrigo Durán​",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",13,"San Miguel","Daniel Melo",PS,"Nueva Mayoría",1,0
VII,"Región Metropolitana",13,"San Miguel","Tucapel Jiménez",PPD,"Nueva Mayoría",1,0
VII,"Región Metropolitana",13,"San Miguel","Guillermo Teillier",PCCh,"Nueva Mayoría",1,0
VII,"Región Metropolitana",13,"San Miguel","Andrés Dibán",RD,"Frente Amplio",1,0
VII,"Región Metropolitana",13,"San Miguel","Juan Ignacio Latorre",RD,"Frente Amplio",1,0
VII,"Región Metropolitana",13,"San Miguel","Gael Yeomans (IL)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",13,"San Miguel","Mauricio Carrasco (MA)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",13,"San Miguel","Carlos Astudillo (ND)",Otros,"Frente Amplio",1,0
VII,"Región Metropolitana",14,"San Bernardo","Jaime Bellolio",UDI,"Chile Vamos",1,0
VII,"Región Metropolitana",14,"San Bernardo","Juan Antonio Coloma Álamos",UDI,"Chile Vamos",1,0
VII,"Región Metropolitana",14,"San Bernardo","Gloria Abud",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",14,"San Bernardo","Pedro Pablo Errázuriz​",Evópoli,"Chile Vamos",1,0
VII,"Región Metropolitana",14,"San Bernardo","Leonardo Soto",PS,"Nueva Mayoría",1,0
VII,"Región Metropolitana",14,"San Bernardo","Marcia González​",PRSD,"Nueva Mayoría",1,0
VII,"Región Metropolitana",14,"San Bernardo","Renato Garín",RD,"Frente Amplio",1,0
VIII,O'Higgins,15,Rancagua,"Issa Kort",UDI,"Chile Vamos",1,0
VIII,O'Higgins,15,Rancagua,"Javier Macaya​",UDI,"Chile Vamos",1,0
VIII,O'Higgins,15,Rancagua,"Diego Schalper​",RN,"Chile Vamos",1,0
VIII,O'Higgins,15,Rancagua,"Pamela Medina​",Evópoli,"Chile Vamos",1,0
VIII,O'Higgins,15,Rancagua,"Wladimir Román​",Evópoli,"Chile Vamos",1,0
VIII,O'Higgins,15,Rancagua,"Juan Luis Castro",PS,"Nueva Mayoría",1,0
VIII,O'Higgins,15,Rancagua,"Felipe Letelier",PPD,"Nueva Mayoría",1,0
VIII,O'Higgins,15,Rancagua,"Francisco Parraguez​",IC,"Nueva Mayoría",1,0
VIII,O'Higgins,15,Rancagua,"Sebastián Depolo",RD,"Frente Amplio",1,0
VIII,O'Higgins,16,"San Fernando","Ramón Barros",UDI,"Chile Vamos",1,0
VIII,O'Higgins,16,"San Fernando","Eduardo Cornejo​",UDI,"Chile Vamos",1,0
VIII,O'Higgins,16,"San Fernando","Virginia Troncoso",UDI,"Chile Vamos",1,0
VIII,O'Higgins,16,"San Fernando","Juan Pablo Olmedo",Evópoli,"Chile Vamos",1,0
VIII,O'Higgins,16,"San Fernando","Sergio Salazar​",PS,"Nueva Mayoría",1,0
VIII,O'Higgins,16,"San Fernando","Carolina Cucumides​",PPD,"Nueva Mayoría",1,0
VIII,O'Higgins,16,"San Fernando","Cosme Mellado​",PRSD,"Nueva Mayoría",1,0
VIII,O'Higgins,16,"San Fernando","Rubén Andino (MA)",Otros,"Frente Amplio",1,0
VIII,O'Higgins,16,"San Fernando","Sergio Espejo",PDC,"Fuera de Pacto",1,0
VIII,O'Higgins,16,"San Fernando","Nicolás Farfán",PDC,"Fuera de Pacto",1,0
VIII,O'Higgins,16,"San Fernando","Alejandra Sepúlveda",FREVS,"Fuera de Pacto",1,0
VIII,O'Higgins,16,"San Fernando","Aníbal Pérez",FREVS,"Fuera de Pacto",1,0
IX,Maule,17,Talca,"Celso Morales",UDI,"Chile Vamos",1,0
IX,Maule,17,Talca,"Pedro Álvarez-Salamanca",UDI,"Chile Vamos",1,0
IX,Maule,17,Talca,"Pablo Milad",Evópoli,"Chile Vamos",1,0
IX,Maule,17,Talca,"Pablo Prieto",Evópoli,"Chile Vamos",1,0
IX,Maule,17,Talca,"Elías Vistoso​",Evópoli,"Chile Vamos",1,0
IX,Maule,17,Talca,"Sergio Aguiló",Ind,"Nueva Mayoría",1,0
IX,Maule,17,Talca,"Nataly Rojas",RD,"Frente Amplio",1,0
IX,Maule,17,Talca,"Iván Sepúlveda",PH,"Frente Amplio",1,0
IX,Maule,17,Talca,"Roberto León",PDC,"Fuera de Pacto",1,0
IX,Maule,17,Talca,"Pablo Lorenzini",PDC,"Fuera de Pacto",1,0
IX,Maule,18,Linares,"Romilio Gutiérrez",UDI,"Chile Vamos",1,0
IX,Maule,18,Linares,"Ignacio Urrutia",UDI,"Chile Vamos",1,0
IX,Maule,18,Linares,"Alejandra Ramírez",RN,"Chile Vamos",1,0
IX,Maule,18,Linares,"Rafael Ramírez",RN,"Chile Vamos",1,0
IX,Maule,18,Linares,"Felipe Cisternas​",RN,"Chile Vamos",1,0
IX,Maule,18,Linares,"Sebastián de Aguirre",Evópoli,"Chile Vamos",1,0
IX,Maule,18,Linares,"Hernán Larraín Matte​",Evópoli,"Chile Vamos",1,0
IX,Maule,18,Linares,"Guillermo Ceroni",PPD,"Nueva Mayoría",1,0
IX,Maule,18,Linares,"Ricardo Tapia (MA-PH-ND)",Otros,"Frente Amplio",1,0
IX,Maule,18,Linares,"Manuel Matta",PDC,"Fuera de Pacto",1,0
X,Bio-Bio,19,Chillán,"Margarita Letelier​",UDI,"Chile Vamos",1,0
X,Bio-Bio,19,Chillán,"Gustavo Sanhueza​",UDI,"Chile Vamos",1,0
X,Bio-Bio,19,Chillán,"Frank Sauerbaum​",RN,"Chile Vamos",1,0
X,Bio-Bio,19,Chillán,"Jacqueline Guíñez​",RN,"Chile Vamos",1,0
X,Bio-Bio,19,Chillán,"Juan Manuel Santa Cruz​",Evópoli,"Chile Vamos",1,0
X,Bio-Bio,19,Chillán,"María Soledad Tohá​",PS,"Nueva Mayoría",1,0
X,Bio-Bio,19,Chillán,"Loreto Carvajal",PPD,"Nueva Mayoría",1,0
X,Bio-Bio,19,Chillán,"Carlos Abel Jarpa",PRSD,"Nueva Mayoría",1,0
X,Bio-Bio,19,Chillán,"Enrique Jara",IGUAL,"Frente Amplio",1,0
X,Bio-Bio,19,Chillán,"Jorge Sabag",PDC,"Fuera de Pacto",1,0
X,Bio-Bio,19,Chillán,"Cristian Quiroz",Pais,"Fuera de Pacto",1,0
X,Bio-Bio,20,Concepción,"Jorge Ulloa",UDI,"Chile Vamos",1,0
X,Bio-Bio,20,Concepción,"Enrique van Rysselberghe",UDI,"Chile Vamos",1,0
X,Bio-Bio,20,Concepción,"Gonzalo Arroyo",Evópoli,"Chile Vamos",1,0
X,Bio-Bio,20,Concepción,"Francisca Parodi​",Evópoli,"Chile Vamos",1,0
X,Bio-Bio,20,Concepción,"Clemira Pacheco",PS,"Nueva Mayoría",1,0
X,Bio-Bio,20,Concepción,"Cristián Campos",PPD,"Nueva Mayoría",1,0
X,Bio-Bio,20,Concepción,"Natalia Riffo",IX,"Nueva Mayoría",1,0
X,Bio-Bio,20,Concepción,"Claudia Monje",RD,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Loreto Muñoz",PH,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Félix González",PEV,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Raquel Rebolledo",PEV,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Paula Opazo",PEV,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Cristina Yáñez",PEV,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Mauricio Pérez",IGUAL,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Gonzalo Reyes",IGUAL,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Cristián Cuevas (ND)",Otros,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"Camilo Riffo (MA)",Otros,"Frente Amplio",1,0
X,Bio-Bio,20,Concepción,"José Miguel Ortiz",PDC,"Fuera de Pacto",1,0
X,Bio-Bio,20,Concepción,"Alejandra Flores",Amplitud,"Sentido Futuro",1,0
X,Bio-Bio,20,Concepción,"María González",Amplitud,"Sentido Futuro",1,0
X,Bio-Bio,20,Concepción,"Miguel Pezo",Amplitud,"Sentido Futuro",1,0
X,Bio-Bio,20,Concepción,"Mauricio Salgado",Amplitud,"Sentido Futuro",1,0
X,Bio-Bio,21,"Los Ángeles","Ivan Norambuena",UDI,"Chile Vamos",1,0
X,Bio-Bio,21,"Los Ángeles","René Núñez",Evópoli,"Chile Vamos",1,0
X,Bio-Bio,21,"Los Ángeles","Manuel Monsalve",PS,"Nueva Mayoría",1,0
X,Bio-Bio,21,"Los Ángeles","José Pérez Arriagada",PRSD,"Nueva Mayoría",1,0
X,Bio-Bio,21,"Los Ángeles","Roberto Poblete",PS,"Nueva Mayoría",1,0
"XI ",Araucanía,22,Angol,"Jorge Rathgeb",RN,"Chile Vamos",1,0
"XI ",Araucanía,22,Angol,"Diego Paulsen",RN,"Chile Vamos",1,0
"XI ",Araucanía,22,Angol,"Carmen Gloria Aravena​",Evópoli,"Chile Vamos",1,0
"XI ",Araucanía,22,Angol,"Diego Ancalao",IC,"Nueva Mayoría",1,0
"XI ",Araucanía,22,Angol,"Mario Venegas",PDC,"Fuera de Pacto",1,0
"XI ",Araucanía,22,Angol,"Iván Cerda",Amplitud,"Sentido Futuro",1,0
"XI ",Araucanía,22,Angol,"Tomás Sánchez",Ind.,"Sentido Futuro",1,0
"XI ",Araucanía,23,Temuco,"Kurt Horta",UDI,"Chile Vamos",1,0
"XI ",Araucanía,23,Temuco,"Henry Leal",UDI,"Chile Vamos",1,0
"XI ",Araucanía,23,Temuco,"Germán Becker",RN,"Chile Vamos",1,0
"XI ",Araucanía,23,Temuco,"René Manuel García",RN,"Chile Vamos",1,0
"XI ",Araucanía,23,Temuco,"Andrés Molina",Evópoli,"Chile Vamos",1,0
"XI ",Araucanía,23,Temuco,"Sebastián Álvarez​",Evópoli,"Chile Vamos",1,0
"XI ",Araucanía,23,Temuco,"Joaquín Tuma",PPD,"Nueva Mayoría",1,0
"XI ",Araucanía,23,Temuco,"Fernando Meza",PRSD,"Nueva Mayoría",1,0
"XI ",Araucanía,23,Temuco,"Felipe Valdebenito​",RD,"Frente Amplio",1,0
"XI ",Araucanía,23,Temuco,"René Saffirio",IND,"Fuera de Pacto",1,0
XII,"Los Ríos",24,Valdivia,"Bernardo Berger",RN,"Chile Vamos",1,0
XII,"Los Ríos",24,Valdivia,"Alonso Pérez de Arce",Evópoli,"Chile Vamos",1,0
XII,"Los Ríos",24,Valdivia,"Alex Schmidt​",Evópoli,"Chile Vamos",1,0
XII,"Los Ríos",24,Valdivia,"Hugo Ortiz de Filippi",PRI,"Chile Vamos",1,0
XII,"Los Ríos",24,Valdivia,"Waleska Ferhrmann",PRI,"Chile Vamos",1,0
XII,"Los Ríos",24,Valdivia,"Eduardo Salas​",PRI,"Chile Vamos",1,0
XII,"Los Ríos",24,Valdivia,"Enrique Jaramillo",PPD,"Nueva Mayoría",1,0
XII,"Los Ríos",24,Valdivia,"Wladimir Riesco​",RD,"Frente Amplio",1,0
XII,"Los Ríos",24,Valdivia,"Vicente Gómez​",PEV,"Frente Amplio",1,0
XII,"Los Ríos",24,Valdivia,"Carla Amtmann (ND)​",Otros,"Frente Amplio",1,0
XII,"Los Ríos",24,Valdivia,"Cari Alvarez (IA)​",Otros,"Frente Amplio",1,0
XII,"Los Ríos",24,Valdivia,"Bayron Velásquez (IL)​",Otros,"Frente Amplio",1,0
XII,"Los Ríos",24,Valdivia,"Iván Flores",PDC,"Fuera de Pacto",1,0
XIII,"Los Lagos",25,Osorno,"Javier Hernández",UDI,"Chile Vamos",1,0
XIII,"Los Lagos",25,Osorno,"Aldo Duque",Evópoli,"Chile Vamos",1,0
XIII,"Los Lagos",25,Osorno,"Carlos Moraga​",Evópoli,"Chile Vamos",1,0
XIII,"Los Lagos",25,Osorno,"Jorge Tejeda​",PRI,"Chile Vamos",1,0
XIII,"Los Lagos",25,Osorno,"Fidel Espinoza",PS,"Nueva Mayoría",1,0
XIII,"Los Lagos",25,Osorno,"Rosemberg Hernández​",PRSD,"Nueva Mayoría",1,0
XIII,"Los Lagos",25,Osorno,"Sergio Ojeda",PDC,"Fuera de Pacto",1,0
XIII,"Los Lagos",26,"Puerto Montt","Marisol Turres",UDI,"Chile Vamos",1,0
XIII,"Los Lagos",26,"Puerto Montt","Alejandro Santana",RN,"Chile Vamos",1,0
XIII,"Los Lagos",26,"Puerto Montt","Marcelo Vera​",Evópoli,"Chile Vamos",1,0
XIII,"Los Lagos",26,"Puerto Montt","Giovanna Bellocchio",PRI,"Chile Vamos",1,0
XIII,"Los Lagos",26,"Puerto Montt","Jorge Elgueta​",PRI,"Chile Vamos",1,0
XIII,"Los Lagos",26,"Puerto Montt","Jenny Álvarez",PS,"Nueva Mayoría",1,0
XIII,"Los Lagos",26,"Puerto Montt","Alejandro Bernales",PL,"Frente Amplio",1,0
XIII,"Los Lagos",26,"Puerto Montt","Ricardo Cáceres",Poder,"Frente Amplio",1,0
XIII,"Los Lagos",26,"Puerto Montt","Susan Ponce",Poder,"Frente Amplio",1,0
XIII,"Los Lagos",26,"Puerto Montt","Eduardo Ocampo (ND)",Otros,"Frente Amplio",1,0
XIII,"Los Lagos",26,"Puerto Montt","Patricio Vallespín",PDC,"Fuera de Pacto",1,0
XIII,"Los Lagos",26,"Puerto Montt","Juan Antonio Espina7​",Amplitud,"Sentido Futuro",1,0
XIV,Aysén,27,Coyhaique,"Eugenio Canales",UDI,"Chile Vamos",1,0
XIV,Aysén,27,Coyhaique,"Néstor Mera​",UDI,"Chile Vamos",1,0
XIV,Aysén,27,Coyhaique,"Aracely Leuquén​",RN,"Chile Vamos",1,0
XIV,Aysén,27,Coyhaique,"Geoconda Navarrete​",Evópoli,"Chile Vamos",1,0
XIV,Aysén,27,Coyhaique,"Patricio Henríquez Barrientos",PRI,"Chile Vamos",1,0
XIV,Aysén,27,Coyhaique,"Carlos Irigoin Jara​",PPD,"Nueva Mayoría",1,0
XIV,Aysén,27,Coyhaique,"Jorge Calderón​",PRSD,"Nueva Mayoría",1,0
XIV,Aysén,27,Coyhaique,"Jessica Almonacid (MA)",Otros,"Frente Amplio",1,0
XIV,Aysén,27,Coyhaique,"Iván Fuentes",PDC,"Fuera de Pacto",1,0
XIV,Aysén,27,Coyhaique,"Iván Mlynarz",PRO,"Fuera de Pacto",1,0
VI,"Magallanes y Antártica Chilena",28,"Punta Arenas","Laura Álvarez​",Evópoli,"Chile Vamos",1,0
VI,"Magallanes y Antártica Chilena",28,"Punta Arenas","Juan José Arcos​",PRI,"Chile Vamos",1,0
VI,"Magallanes y Antártica Chilena",28,"Punta Arenas","Michelle Peutat​",PS,"Nueva Mayoría",1,0
VI,"Magallanes y Antártica Chilena",28,"Punta Arenas","Gabriel Boric (MA)",Otros,"Frente Amplio",1,0
VI,"Magallanes y Antártica Chilena",28,"Punta Arenas","Juan Morano",PDC,"Fuera de Pacto",1,0
